Song,Artist,Album,Cover Art,Year Released
Drug Addiction,NBA Youngboy,Top,https://upload.wikimedia.org/wikipedia/en/9/92/YoungBoy_Never_Broke_Again_-_Top.png,2020
No Suburban pt.2,Sheff g,One and Only,"https://media.pitchfork.com/photos/5eb9b66b8b87698b3b0b9dfe/1:1/w_800,h_800,c_limit/One%20and%20Only_Sheff%20G.jpg",2020
Anxiety Freestyle,Sleepy Hallow,Sleepy Hallow Presents: Sleepy For President ,https://i.ytimg.com/vi/3VU7HSLlwYc/maxresdefault.jpg,2020
Savages,Eli Fross,The Golden Child,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/44/30/f9/4430f972-376d-058f-adad-94c03f55f4d6/196589307323.jpg/1200x1200bf-60.jpg,2022
Hold Me Down,NBA Youngboy,Sincerely Kentrell,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/18/5d/1b/185d1b16-0799-4b26-4c3f-678ccfe58753/075679766922.jpg/1200x1200bf-60.jpg,2021
Broken Clocks,SZA,Ctrl,https://upload.wikimedia.org/wikipedia/en/b/bf/SZA_-_Ctrl_cover.png,2017
Drum Dummy,Sheff g,From The Can,https://images.complex.com/complex/image/upload/v1723843601/sanity-new/tmp-name-3-456-1670725962-141_16x9-6367491.jpg,2021
Bad Days,Eli Fross,The Golden Child,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/d8/b1/e8/d8b1e8a5-d8c0-2a08-504d-f7dc15e60f6a/196589307316.jpg/1200x1200bf-60.jpg,2022
Out Nothing ,NBA Youngboy,Don't Try This at Home,https://upload.wikimedia.org/wikipedia/en/c/c5/Don%27t_Try_This_At_Home.jpeg,2023
All In,NBA Youngboy,Top,https://upload.wikimedia.org/wikipedia/en/9/92/YoungBoy_Never_Broke_Again_-_Top.png,2020
