Song,Artist,Album,Cover,Year Released
Wheels on the bus,Cocomellon,,https://www.willanacademy.com/wp-content/uploads/2019/01/Depositphotos_146809101_m-2015-1000x675.jpg,2019
Twinkle Twinkle little star,Jane Taylor,,https://m.media-amazon.com/images/S/pv-target-images/523c5c2942806d291b106ec4b089fc59c4a447eb7ea26fbf949158b71cf75fab._SX1080_FMjpg_.jpg,1806
ABC song,Louis Le Marie,,https://i.ytimg.com/vi/75p-N9YKqNo/hqdefault.jpg,1853
Baa Baa black Sheep,Katherine Elwes Thomas,,https://i1.sndcdn.com/artworks-000484296393-10lv0l-t500x500.jpg,1744
you are my sunshine,oliver hood,,https://i.ytimg.com/vi/4Oc6PTtcthA/maxresdefault.jpg,1940
Row your boat,Eliphaet Oram Lyte,,https://supersimple.com/wp-content/uploads/row-row-row-your-boat-1080-740.jpg,1852
its bitsy spider,Iza Trapani,,https://cdns-images.dzcdn.net/images/cover/ce24063a0a7f4fc85699b940ff13bc1f/0x1900-000000-80-0-0.jpg,2007
Mary goes 'Round,Joe Shapiro and Lou Stallman,,https://i.ytimg.com/vi/NzRbRkNiJfM/maxresdefault.jpg,1991
Mary had a little lamb,Buddy Guy,,"https://m.media-amazon.com/images/I/81hbQ1UmeJL._AC_UF1000,1000_QL80_.jpg",1877
Ring Around the Rosie,Unknown,,https://cdn.firstcry.com/education/2022/08/05110206/Ring-Around-The-Rosie-Nursery-Rhyme.jpg,18th century
