Song,Artist,Album,Cover art,Year released
Self Control,Frank Ocean,Blonde,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAJQAlAMBIgACEQEDEQH/xAAcAAACAgMBAQAAAAAAAAAAAAAAAQQHAgUGAwj/xABHEAABAwICBgcHAAQLCQAAAAABAAIDBBEFIQYSMUFRchMUIjN0kbIHMjVSU2FxQmKB0RYjJTZVkpSiseHxFRckNERUocHw/8QAGQEBAAMBAQAAAAAAAAAAAAAAAAECAwQF/8QAHxEBAAMAAgMBAQEAAAAAAAAAAAECEQMhBBIxUUET/9oADAMBAAIRAxEAPwC5qmofFJZtrW3heXXZODPJFf3w5VGQSeuycGo67LwZ5KMkgkitl4NR1yXgxR9ySCSa6QC9meSOvS8GeSq/20VdQaPBMHpDI9+JVmq6Fht0zW6vZJ/L2qJj+nmK0sOkWDYpQw4fXU9D0tPNSzl4AcWtAud/bGeSC2RXyHYGLPrsvBvkqh0Q0hxGPDcJ0a0YoKaqro6BtXVz1cpZHF0naAyzJOuPNS4vam6PBnSVOEl2KtxDqHVoZbsc7e4E7t1uNs+AWn12Tg1HXJc8mZKs/wDeLXYfj9fh+kODMo4qajdVNMU/SP1RbVB3XN7ZbCuZ060o0kxnQ2k6bCoqKlxmdrKZ0NRrPe3bqvH62R/xCC8RWyncz9iOuy8GeSiRRNgiZCz3I2hjbcBkskEnrsvBnkl16XgzyUcrFBK69LwYjr0vBiioQbmJ2tG1x3i6EoO4j5QhBDr++HKoyk1/fDlUUFA7JbE0IMZZI4Y3ySvayNjS5znGwaBtJK1/8IcE/pjD/wC1M/estIfgOJeFl9BVI522KJlMQ7/THD8K0jxbC6+HSyion4drOi1JI3nXJBBzda3ZGVlpqzRLDMSpMTkxPTKhqMUxF0fS1V4w1kbDcNa0Oy2N3/ohc0AU7FNTjr3YLS0ONSYno3pjhtC+opmU9QyUxyDstADm9rI9kLyg0O0bp3YQY9KKR/UqzrtS6WZhdUy3afm7I7NrZ7SuUAPFZauSIx22L6P4DjGOYxiVZpLRFuI0YpWxtlYDDYtIcDrZ5t2fda+HRikecDZienNDU0+DytdDAOja3VaRYe9e+QFzfJcyGjenqjgFKF0fwgwT+mMP/tTP3r3pMUw+tkMVFX0tRIBrFkMzXkDjYHZmFSIFiV13s0H8vT+Fd6mqRZSSaFAxQmU0G2g7lnKEk4O5ZypIIlf3w5VGUmv74cqi3zQOyVk00Gux/wCA4l4WX0lUoBkFdmkHwHEvCy+kqkxfgqytACySXlVzimgdK7dkBxKD0yb72X5Xpqm32XLtqpaqq1pHfho2Bb2mBJblax2qtrerOb23qEpo2p2XqIS4fdYFg/8AirUvFklbtFdZ7Nfjs/hXepq5XV7RXWezdoGOzZf9K71NWiVklYrIpKoRCSaEG2g7lnKknB3LOVJBEr+9HKom9S6/vhyqMgEIQggaQfAcS8LJ6SqVCurSH4BiXhZPSVSouoTB2zWk0ie4yRxXIa1ut+0/6LeC/EeS0OMtM+IdA1zQ8sFtc2Crb4tWNlrsNJM4G3euwwulkm1Q1ut9htXLQUdTRTkTxOjfe1ncNt/uPuu+0VneHXZaxF81y818+Ozh8eLfWbqborB4ztmtdMAJXhuy+S3mIygOc52ZN1z5JOd9p8lfxZ2Zll5PF/mBtXWezn47N4V3qauSAzzJ/Yut9nFv9uTZn/lXepq7ZciyEk0lRIskUIQbaDuWcqScHcs5UkEWu70cqiKVX98OVRSgE0kIIOkHwHEvCyekqlRsV06QfAMS8LJ6SqVF/tZBmNq5LGHCbEJJY5Hh7D7rtuS6xt77iuYxh9O+uILbXOq7cQ7iq2aUdFo7X02NYdLh9fI2OoiYerSOGYNvd+4WoZjFdQVIpYqfoapr9TtG4BvtsoeFjrUootYxSlwMcrTY3Gy/muwkwaTEqJrqoMbiFM6zJQLB5G4nguS/rWe4ehxRa0dS2FcDNSNgkqHtkEI6WZpsS79Ij/Baw7b8VA0lqKqjmpmsuxxYS5p2LXx4tWapdIyEtG02I/8Aa18asVrv6w8u1r29fxvt6632c/HJvCu9TVX1PjMLzaYGL9a1wu69mNTDPj0/RTxyHqrsmu/WaurYlxTWYWduQgpblUBQkhBt4O5ZypJwdyzlCSCJX98OVRSpVf3w5VGKDFNBQggaQfAcS8LL6SqUBsFdekHwHEvCy+kqkRuuf/CJiBPUMp4zJK6wGwbyucrn9cmdKGNYbA/dFdK6WZznOJF/JYU7blzyd1gsbWb1pCZhdo42unax4Lg4Ee81dvhVWJ4w69zfVcRv4FVu/XppRJC6wOeqdi2+CYk6Ga8RIa7aw7lhyU9u3Zw8sV6bPTWRpmpnP94aw/Oz965qpkcWBrcm3zXX4pRjF6HpGN1pIrkAb/suUfEC0tjOsRa43rTimPTFOas++o7c22KsH2KNtpHU+Cd62LgIbWcHZOFtqsf2MxNGOVEjb36q8f32LWs9ue8dSt8hJZHYktHMxshNCDbQdyzlQiDuWcqSCJX98OVRlJr++HKot0DQjchBr9IfgGJeEl9JVHF2WSvHSL+b+J+El9BVE3PFVstVzdS6z7OyN7L0vZgANlnjUUbZ3OFw4gHLiokcuvG3iMissbxLKV5G0pU04bICb2Js628LzlNwvFl9bIK2RiJtO673CMRjfC2EnVJHZfxO5eddSQ0r5a98Z6CQdpgH6X+a5SgrTC4xvHYJy+xXXYRWR1UJp5yHMeNUtOxYWr6TrsreOSM/ri4C+eaV5PvOVueyOhlpsTmkf7jqZ1v6zVXOJ4S/CJQG3dT612u4fYq0fZXVCaoey97QOP8AeatN20YwmuUt7fVklJNJdDiCSaCg2sHcs5Uk4O5ZypIIlf3w5VE37FLr++HKoyAQhCDX6R/zexTwkvoKoe+SvfSLPR3FAP8AtJfSV8+YhOaeDshxkdkABe33VLavVqcXqmSVDw07MrqBTAukyKb4pHkkxP8A6hUzCaRxqCdR9gxxI1TwUxGQmZ7eEuQ/C8xnt2KT0Ti3XDHm42FpXjqyEn+Kfn+qVWF3mCb6t/wp2HVr4ZdqhGOQG/Rvy/VKy1JAdYRvvylJjStslYFPUx19NqykEcTmuk9mOHmj0lmLHnoXUbrM2gHXZ/mqzw+plYwFrXfdpBVn+yusdPissTr9mlcc+ZqxrE1u6uS8W45WekhJdTzghCEG2g7lnKknB3LOVJBErz/HDlUZSa/vhyqMgNySaV0Dtklqt+UW/Ce5CDEtb8oTDR8o8kJ+SDndIsefg9fR00dLFIKgOJc421bLVP02maX/AMnwnVLh753fsW10hwCXF66kqWStYKdrhqn9K+9ax2hMrw//AItrS4uI7N7XQdhERJEx5aBrNBt+Qsw0X90eSwiaWRMYdrWgXG+y9AUCDG/KPJZBoBuAATwCAhE6CkhK6INJF0XyQbeDuWcoQin7iPlCSDN0bHHtNB/IS6GP5G+SSEB0MfyN8kdDF9NvkhCB9DH8jfJLoY/kb5IQgOhi+m3yR0MX02+SSED6GP6bfJHQxfTb5IQgOhi+m3yR0MX02+SEIAQx/I3yT6GP5G+SSEB0MX02+SOhi+m3ySQgOhi+m3yT6GL6bfJCEGYAAsMgEIQg/9k= ",2016
Damages,Tems,For Broken Ears,cmu://628702/33242090/Damages_album_art.jpg,2020
What's the Use?,Mac Miller,Swimming,cmu://628702/33242098/ab67616d0000b273175c577a61aa13d4fb4b6534.jpg,2018
New Mode,Kid Cudi,Entergalactic,cmu://628702/33242110/Kid_Cudi_-_Entergalactic.png,2022
Grounded ,Ari Lennox,Grounded,cmu://628702/33242121/ab67616d0000b273e55eac90d3eeafc422c2dc06.jpg,2020
How Great,Chance the Rapper,Coloring Book,https://upload.wikimedia.org/wikipedia/en/c/c4/Chance_the_Rapper_-_Coloring_Book.png,2016
"Sing About Me, I'm Dying of Thirst",Kendrick Lamar,"good kid, m.A.A.d city",cmu://628702/33242147/ab67616d0000b273d58e537cea05c2156792c53d.jpg,2012
"an Interlude Called ""Circus""",Saba,Few Good Things,cmu://628702/33242158/Saba-Few-Good-Things.jpg,2022
Sacrifices,Dreamville,Revenge Of The Dreamers III,cmu://628702/33242165/ab67616d0000b273c0ae820e3b64854de4642101.jpg,2019
Breathe (In the Air),Pink Floyd,The Dark Side of the Moon,cmu://628702/33242171/Dark_Side_of_the_Moon.png,1973
