song,artist,album,cover art,release year
white ferrari,frank ocean,blond,https://upload.wikimedia.org/wikipedia/en/a/a0/Blonde_-_Frank_Ocean.jpeg,2016
pass the water,lil durk,single,https://i1.sndcdn.com/artworks-Kimsb7nadnpPEWbT-p2aozQ-t500x500.jpg,2020
i swear to God,rob49,single,https://cdns-images.dzcdn.net/images/cover/c661abb253edb0ddaaaf627d9618f45c/0x1900-000000-80-0-0.jpg,2024
dru hill,lil durk,almost healed,https://images.genius.com/1d9d47a7b4e881ef85e906b51b9e1419.300x300x1.png,2023
own it,drake,nothing was the same,https://i.ytimg.com/vi/LP0Z4-xwJuY/maxresdefault.jpg,2013
do better blues,jhene aiko,sailing soul(s),https://i1.sndcdn.com/artworks-gmRj87hvQdCu-0-t1080x1080.jpg,2011
me vs me,chuckyy,tweak til the end,https://i.ytimg.com/vi/WDdYiouLlIk/mqdefault.jpg,2024
love you too,lil durk,love you too,https://i1.sndcdn.com/artworks-sAyQMxT6pK5icn8D-y8fYbA-t500x500.jpg,2021
dark clouds,rod wave,pray 4 love,https://images.genius.com/442d3741503113c05405e067d1a1adce.1000x1000x1.jpg,2020
for me,loe shimmy,zombieland 2,https://i1.sndcdn.com/artworks-quyI4rLosJTi-0-t500x500.jpg,2024
