Song,Artists,Album,Cover Art
American Wedding,Frank Ocean,"Nostalgia, Ultra","https://en.wikipedia.org/wiki/Nostalgia,_Ultra"
Teenage Fever,Drake,More Life,https://en.wikipedia.org/wiki/More_Life
Night is still young ,Nicki Minaj,PinkPrint,https://en.wikipedia.org/wiki/The_Pinkprint
Ivy ,Frank Ocean,Blonded,https://en.wikipedia.org/wiki/Blonde_(Frank_Ocean_album)
GodSpeed,Frank Ocean,Blonded,https://en.wikipedia.org/wiki/Blonde_(Frank_Ocean_album)
We cant be freinds ,Ariana Grande,Eternal Sunshine,https://en.wikipedia.org/wiki/Eternal_Sunshine_(album)
Birds of a feather,Billie Ellish ,HMHAS,https://en.wikipedia.org/wiki/Hit_Me_Hard_and_Soft
Style ,Taylor Swift,1989,https://en.wikipedia.org/wiki/1989_(album)
Cardigan ,Taylor Swift,folklore,https://en.wikipedia.org/wiki/Folklore_(Taylor_Swift_album)
Best I ever Had,Drake ,so far gone,https://en.wikipedia.org/wiki/So_Far_Gone_(mixtape)
